28,0.10,0.92
358182272,0.47,0.17,0.87
358187240,0.48,0.17,0.89
358192192,0.50,0.17,0.92
358197144,0.50,0.17,0.92
358202088,0.51,0.16,0.94
358207040,0.52,0.13,0.96
358212000,0.53,0.13,0.97
358216984,0.53,0.13,0.97
358221952,0.53,0.13,0.97
358226928,0.52,0.13,0.97
358231912,0.52,0.12,0.96
358236888,0.50,0.12,0.97
358241832,0.48,0.11,0.96
358246784,0.44,0.12,0.95
358251736,0.45,0.12,0.96
358256688,0.45,0.12,0.95
358261656,0.44,0.13,0.95
358266616,0.46,0.10,0.94
358271592,0.41,0.11,0.95
358276544,0.40,0.10,0.93
358281488,0.37,0.09,0.91
358286424,0.39,0.07,0.90
358291344,0.35,0.06,0.93
358296288,0.26,-0.30,1.29
358301280,0.58,-0.39,1.45
358306272,0.90,-0.19,1.89
358311264,0.34,-0.21,1.45
358316296,0.22,-0.24,1.32
358321304,0.44,0.01,1.30
358326240,0.39,-0.06,1.38
358331232,0.32,-0.09,1.34
358336208,0.33,-0.08,1.31
358341240,0.29,-0.08,1.23
358346240,0.20,-0.06,1.14
358351232,0.13,-0.02,1.08
358356248,0.16,-0.03,1.00
358306272,358356248,2.10,0.90,-0.19,1.89,tap-2
358418056,0.33,-0.02,1.03
358423016,0.34,0.03,1.01
358427968,0.33,0.07,1.00
358432928,0.30,0.05,1.00
358437864,0.30,0.05,0.98
358442784,0.32,0.06,0.97
358447720,0.30,0.05,0.96
358452640,0.28,0.07,0.92
358457592,0.28,0.10,0.92
358462528,0.28,0.07,0.90
358467440,0.29,0.06,0.90
358472344,0.25,0.07,0.89
358477272,0.27,0.09,0.88
358482208,0.27,0.06,0.87
358487144,0.28,0.07,0.86
358492072,0.30,0.07,0.84
358496992,0.29,0.06,0.86
358501928,0.28,0.07,0.84
358506872,0.28,0.06,0.84
358511800,0.29,0.05,0.86
358516712,0.29,0.06,0.86
358521640,0.29,0.05,0.84
358526576,0.30,0.05,0.84
358531512,0.29,0.05,0.84
358536440,0.28,0.05,0.84
358541360,0.29,0.04,0.84
358546296,0.31,0.03,0.86
358551248,0.30,0.05,0.86
