,0.08,0.02,0.97
212336840,0.05,0.05,1.00
212341752,0.07,0.06,0.99
212346672,0.07,0.06,0.99
212351592,0.07,0.06,0.99
212356504,0.08,0.05,0.99
212361440,0.10,0.06,1.00
212366352,0.10,0.06,1.00
212371256,0.10,0.06,0.99
212376168,0.10,0.06,0.99
212381088,0.13,0.05,0.98
212386056,0.10,0.05,0.98
212390976,0.11,0.05,0.98
212395912,0.10,0.06,0.98
212400824,0.11,0.06,1.00
212405752,0.12,0.06,0.99
212410688,0.12,0.06,1.00
212415592,0.13,0.05,0.99
212420520,0.11,0.06,0.99
212425456,0.12,0.06,1.01
212430392,0.11,0.07,0.99
212435328,0.13,0.04,1.00
212440256,0.10,0.05,0.99
212445144,0.11,0.05,1.01
212450088,0.12,0.05,0.99
212455024,0.11,0.04,1.01
212459968,0.10,0.05,1.00
212464888,0.09,0.05,1.01
212469800,0.06,0.04,1.00
212474720,0.07,0.06,1.00
212479632,0.06,0.05,0.98
212484528,0.06,0.05,1.00
212489448,0.07,0.06,1.00
212494352,0.05,0.06,1.00
212499256,0.07,0.07,1.01
212504176,0.05,0.06,1.02
212509104,0.05,0.06,1.00
212514024,0.05,0.06,1.00
212518896,0.05,0.05,1.02
212523832,0.05,0.05,1.02
212528752,0.06,0.04,1.02
212533704,0.06,0.03,1.00
212538600,0.06,0.04,1.02
212543520,0.05,0.03,1.01
212548440,0.05,0.04,1.01
212553344,0.05,0.06,1.00
212558240,0.07,0.04,1.00
212563152,0.05,0.05,0.99
212568048,0.04,0.05,1.00
212572976,0.05,0.05,0.99
212577888,0.06,0.05,0.98
212582816,0.05,0.06,0.98
212587744,0.05,0.07,0.98
212592696,0.06,0.05,0.97
212597600,0.06,0.05,0.97
212602520,0.07,0.05,0.96
212607456,0.05,0.07,0.96
212612360,0.05,0.06,0.94
212617288,0.07,0.05,0.94
212622208,0.07,0.04,0.94
212627128,0.06,0.05,0.94
212632072,0.08,0.06,0.94
212637008,0.07,0.03,0.93
212641912,0.07,0.04,0.94
212646832,0.07,0.04,0.92
212651768,0.07,0.05,0.92
212656712,0.08,0.05,0.90
212661608,0.08,0.05,0.91
212666536,0.09,0.07,0.89
212671440,0.09,0.05,0.88
212676352,0.10,0.03,0.87
212681288,0.10,0.06,0.88
212686200,0.10,0.06,0.87
212691128,0.09,0.07,0.86
212696048,0.09,0.07,0.86
212700976,0.10,0.07,0.84
