30,-0.07,1.05
783715344,-0.08,-0.05,1.43
783720360,-0.06,-0.04,1.34
783725400,-0.07,-0.09,1.27
783730408,-0.01,-0.09,1.13
783735416,0.02,-0.09,1.05
783740376,0.13,-0.10,1.05
783745376,0.07,-0.11,0.94
783680096,783745376,1.76,-0.21,-0.31,1.72,tap-2
783807264,-0.01,-0.10,1.00
783812272,-0.01,-0.10,1.01
783817296,0.00,-0.08,1.00
783822160,-0.01,-0.10,1.00
783827184,-0.00,-0.12,1.01
783832200,0.00,-0.09,1.01
783837080,0.01,-0.08,1.00
783842024,0.03,-0.08,1.01
783847016,0.03,-0.08,1.00
783852000,0.03,-0.06,0.97
783856960,0.06,-0.05,0.98
783861920,0.03,-0.03,0.96
783866904,0.04,-0.03,0.96
783871848,0.05,-0.03,0.95
783876824,0.04,-0.02,0.94
783881760,0.07,-0.02,0.92
783886720,0.07,-0.02,0.92
783891688,0.05,-0.02,0.92
783896672,0.05,-0.02,0.92
783901640,0.07,-0.00,0.92
783906616,0.08,-0.01,0.92
783911608,0.07,0.01,0.93
783916552,0.07,-0.01,0.91
783921528,0.08,0.00,0.91
783926448,0.06,0.01,0.90
783931344,0.08,0.01,0.91
783936280,0.08,0.01,0.91
783941216,0.07,0.02,0.91
783946128,0.06,0.01,0.91
783951072,0.06,0.01,0.92
783956000,0.07,0.01,0.91
783960944,0.07,0.02,0.90
783965880,0.08,0.03,0.92
783970824,0.08,0.02,0.92
783975744,0.09,0.03,0.92
783980688,0.08,0.03,0.93
783985632,0.10,0.03,0.93
783990544,0.09,0.01,0.93
783995488,0.10,0.03,0.93
784000400,0.10,0.03,0.94
784005336,0.11,0.02,0.94
784010280,0.10,0.04,0.93
784015208,0.10,0.04,0.94
784020128,0.11,0.03,0.93
784025064,0.11,0.03,0.92
784030000,0.12,0.03,0.91
784034952,0.14,0.02,0.93
784039896,0.13,0.02,0.95
784044824,0.15,0.02,0.95
784049760,0.14,0.03,0.93
784054704,0.15,0.03,0.95
784059648,0.13,0.02,0.95
784064568,0.11,0.02,0.95
784069512,0.14,0.02,0.96
784074440,0.15,0.01,0.97
784079408,0.15,0.01,0.96
784084328,0.15,0.01,0.97
784089288,0.13,0.01,0.95
784094232,0.11,0.01,0.95
784099184,0.11,0.01,0.98
784104104,0.10,0.01,0.97
784109040,0.10,0.02,0.96
784113968,0.09,0.03,0.97
784118896,0.11,0.04,0.97
784123816,0.10,0.04,0.97
784128736,0.10,0.03,0.97
784133664,0.11,0.04,0.97
784138608,0.10,0.04,0.95
784143512,0.12,0.03,0.97
784148440,0.12,0.03,0.96
784153368,0.12,0.03,0.97
784158320,0.15,0.04,0.97
784163264,0.14,0.04,0.96
784168216,0.15,0.02,0.97
784173152,0.15,0.03,0.98
784178088,0.13,0.02,0.95
784183016,0.14,0.03,0.97
784187984,0.12,0.03,0.95
784192920,0.13,0.04,0.96
784197888,0.11,0.03,0.96
784202816,0.11,0.03,0.96
784207744,0.11,0.04,0.95
784212664,0.11,0.03,0.96
784217632,0.11,0.03,0.96
784222576,0.11,0.05,0.96
784227512,0.11,0.05,0.95
784232424,0.10,0.05,0.94
784237344,0.09,0.06,0.95
784242264,0.10,0.04,0.94
784247200,0.09,0.06,0.94
784252112,0.09,0.06,0.94
784257008,0.07,0.06,0.94
784261952,0.07,0.06,0.94
784266896,0.06,0.06,0.93
784271824,0.06,0.05,0.93
784276736,0.08,0.06,0.93
784281640,0.07,0.05,0.94
784286560,0.08,0.05,0.94
784291472,0.07,0.06,0.94
784296392,0.08,0.06,0.93
784301312,0.11,0.05,0.92
784306256,0.08,0.05,0.93
784311192,0.09,0.05,0.94
784316112,0.11,0.04,0.94
784321056,0.10,0.06,0.93
784325984,0.14,0.05,0.95
784330928,0.16,0.03,0.96
784335872,0.19,0.03,0.96
784340816,0.18,0.02,0.96
784345736,0.16,0.03,0.98
784350664,0.17,0.01,0.96
784355632,0.15,0.03,0.97
784360560,0.16,0.03,0.97
784365520,0.16,0.03,0.97
784370448,0.15,0.02,0.96
784375392,0.14,0.03,0.96
784380320,0.12,0.04,0.97
784385280,0.13,0.02,0.95
784390216,0.11,0.01,0.95
784395160,0.11,0.02,0.95
784400096,0.09,0.01,0.94
784405032,0.10,0.02,0.95
784409968,0.09,0.01,0.94
784414904,0.10,0.01,0.95
784419824,0.09,0.01,0.93
784424744,0.09,0.01,0.94
784429688,0.09,0.01,0.95
784434624,0.10,0.01,0.95
784439568,0.10,0.02,0.95
784444512,0.11,0.03,0.97
784449448,0.13,0.01,0.97
784454392,0.13,0.00,1.00
784459320,0.15,-0.01,1.00
784464304,0.16,0.00,1.01
784469256,0.15,-0.03,1.01
784474256,0.14,-0.02,0.99
784479256,0.15,-0.03,1.00
784484232,0.14,-0.04,0.99
784489192,0.14,-0.03,0.98
784494152,0.12,-0.04,0.98
784499120,0.12,-0.03,0.97
784504096,0.10,-0.02,0.98
784509032,0.10,-0.03,0.98
784514000,0.08,-0.01,0.97
784518984,0.08,-0.03,0.99
784523960,0.07,-0.03,0.98
784528936,0.08,-0.03,0.98
784533912,0.07,-0.03,0.97
784538904,0.07,-0.02,0.97
784543880,0.08,-0.03,0.97
784548856,0.08,-0.02,0.96
784553800,0.09,-0.03,0.97
784558768,0.07,-0.02,0.96
784563728,0.08,-0.02,0.96
784568688,0.07,-0.01,0.96
784573664,0.10,-0.02,0.97
784578640,0.12,-0.02,0.95
784583624,0.10,-0.01,0.96
784588608,0.10,-0.01,0.95
784593568,0.12,-0.01,0.95
784598552,0.12,-0.03,0.95
784603552,0.13,-0.03,0.94
784608528,0.14,-0.05,0.95
784613480,0.14,-0.04,0.96
784618464,0.16,-0.05,0.95
784623416,0.15,-0.04,0.94
784628400,0.16,-0.04,0.94
784633360,0.15,-0.05,0.94
784638344,0.14,-0.05,0.96
784643328,0.15,-0.04,0.96
784648312,0.13,-0.06,0.97
784653288,0.13,-0.07,0.97
784658272,0.12,-0.08,0.96
784663240,0.12,-0.07,0.98
784668216,0.13,-0.08,0.96
784673184,0.14,-0.07,0.96
784678144,0.16,-0.08,0.97
784683104,0.14,-0.08,0.97
784688072,0.16,-0.09,0.98
784693024,0.14,-0.08,0.99
784697992,0.14,-0.08,0.98
784702968,0.14,-0.07,0.98
784707944,0.13,-0.08,1.00
784712912,0.14,-0.09,1.00
784717888,0.15,-0.08,1.00
784722840,0.14,-0.09,1.00
784727792,0.13,-0.10,1.02
784732768,0.13,-0.10,1.02
784737736,0.15,-0.11,1.01
784742736,0.13,-0.11,1.02
784747712,0.16,-0.12,1.02
784752696,0.13,-0.11,1.00
784757672,0.13,-0.10,1.00
784762656,0.13,-0.11,1.01
784767664,0.12,-0.11,1.01
784772672,0.10,-0.12,1.01
784777648,0.12,-0.12,1.00
784782640,0.10,-0.12,0.98
784787616,0.13,-0.10,1.00
784792592,0.11,-0.11,0.98
784797592,0.12,-0.09,1.00
784802552,0.11,-0.07,0.99
784807528,0.12,-0.06,1.00
784812488,0.11,-0.05,0.98
784817456,0.12,-0.04,0.97
784822440,0.14,-0.01,0.96
784827416,0.11,-0.02,0.94
784832384,0.16,-0.03,0.95
784837360,0.14,-0.00,0.94
784842320,0.13,-0.01,0.93
784847328,0.15,-0.01,0.91
784852320,0.13,-0.03,0.91
784857312,0.12,-0.03,0.89
784862312,0.08,-0.00,0.88
784867272,0.10,-0.01,0.87
784872256,0.07,0.01,0.86
784877216,0.08,0.01,0.90
784882128,0.08,0.00,0.89
784887056,0.08,0.04,0.87
784891976,0.08,0.04,0.87
